time,p1,p2,p3
1980-04-25,117.18701,87.84766,-4.777832
1980-04-26,49.817383,109.387695,-9.262695
1980-04-27,-46.833496,114.84473,-2.5639648
1980-04-28,-238.66553,130.92627,9.121094
1980-04-29,-108.21826,58.067383,6.166992
1980-04-30,52.185547,74.17529,2.3203125
1980-05-01,20.570312,39.12451,2.7543945
1980-05-02,29.952637,-48.80127,10.614746
1980-05-03,44.037598,11.112793,6.439453
1980-05-04,-44.02832,-63.45508,0.14404297
1980-05-05,-72.956055,-143.12354,-2.6269531
1980-05-06,51.598145,-177.13037,-0.35253906
1980-05-07,106.71924,-122.18115,4.82959
1980-05-08,8.888672,26.6792,9.084961
1980-05-09,-86.53516,3.2055664,10.331055
1980-05-10,3.6533203,-127.57129,3.9726562
1980-05-11,45.677246,-115.82324,1.2773438
1980-05-12,9.087402,-140.01514,5.885742
1980-05-13,-9.839355,-208.48193,1.1020508
1980-05-14,0.6225586,-93.604004,-3.9223633
1980-05-15,43.387695,-100.762695,-8.244629
1980-05-16,77.899414,-254.61035,-3.0820312
1980-05-17,137.78369,-136.76074,4.709961
1980-05-18,160.16309,10.402832,7.571289
1980-05-19,162.28906,104.981445,3.0136719
1980-05-20,86.990234,151.0747,-1.3339844
1980-05-21,-67.69336,79.91113,2.3598633
1980-05-22,-62.078613,-1.8374023,7.554199
1980-05-23,23.106445,-182.15186,14.625488
1980-05-24,32.373535,-300.79395,9.618652
1980-05-25,-6.3129883,-228.15137,-1.6411133
1980-05-26,-5.7421875,-110.12744,-3.1757812
1980-05-27,-35.88965,69.51758,1.6259766
1980-05-28,-23.940918,46.450684,1.2670898
1980-05-29,33.91455,-33.970215,-3.9960938
1980-05-30,78.40967,135.65332,-5.1967773
1980-05-31,67.30371,139.62451,5.9873047
1980-06-01,14.310059,-20.217773,8.533691
1980-06-02,-143.83984,-5.8344727,-1.1699219
1980-06-03,-187.23389,92.62744,-2.1513672
1980-06-04,-129.93506,221.73486,3.0205078
1980-06-05,37.87744,223.03857,2.6777344
1980-06-06,87.91992,164.60742,2.8173828
1980-06-07,37.01123,98.32617,3.956543
1980-06-08,-97.680176,68.88672,-0.7998047
1980-06-09,-66.53906,13.911621,-11.693848
1980-06-10,45.969727,81.59668,-16.253906
1980-06-11,99.76318,163.52881,-1.2661133
1980-06-12,125.237305,82.71387,12.013184
1980-06-13,127.59424,-32.237305,2.5625
1980-06-14,96.73047,-26.924316,-4.7890625
1980-06-15,66.384766,-74.74756,-2.0742188
1980-06-16,94.84668,147.59912,3.1489258
1980-06-17,118.29541,223.06445,7.2246094
1980-06-18,146.20264,115.91846,10.759766
1980-06-19,180.01172,52.266113,9.441895
1980-06-20,180.55762,-14.124512,13.146973
1980-06-21,171.4209,13.121582,15.949219
1980-06-22,116.60889,-53.18457,13.270996
1980-06-23,19.134277,-131.45459,10.31543
1980-06-24,-23.881348,-21.322754,8.610352
1980-06-25,13.342285,-15.604004,8.345215
1980-06-26,69.717285,-232.21924,8.072754
1980-06-27,72.90137,-227.7622,5.930176
1980-06-28,42.745605,-38.47754,0.69140625
1980-06-29,49.926758,68.211914,-4.168457
1980-06-30,50.230957,130.54199,0.60009766
1980-07-01,3.4521484,154.93164,8.987793
1980-07-02,-60.217773,153.93262,1.1645508
1980-07-03,-33.01367,137.72314,-6.366211
